"filename", "language", "JSON", "C++", "Dart", "CMake", "HTML", "YAML", "Markdown", "JavaScript", "Swift", "XML", "Gradle", "Properties", "comment", "blank", "total"
"d:\Flutter_projects\technozia\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"d:\Flutter_projects\technozia\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"d:\Flutter_projects\technozia\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\Flutter_projects\technozia\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\Flutter_projects\technozia\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Flutter_projects\technozia\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"d:\Flutter_projects\technozia\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"d:\Flutter_projects\technozia\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Flutter_projects\technozia\lib\constants\error_handling.dart", "Dart", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"d:\Flutter_projects\technozia\lib\constants\global_variables.dart", "Dart", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"d:\Flutter_projects\technozia\lib\constants\utils.dart", "Dart", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"d:\Flutter_projects\technozia\lib\main-screens\home_screen.dart", "Dart", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 61
"d:\Flutter_projects\technozia\lib\main-screens\login_screen.dart", "Dart", 0, 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 222
"d:\Flutter_projects\technozia\lib\main-screens\signup_screen.dart", "Dart", 0, 0, 390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 408
"d:\Flutter_projects\technozia\lib\main.dart", "Dart", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 76
"d:\Flutter_projects\technozia\lib\models\achievement.dart", "Dart", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 50
"d:\Flutter_projects\technozia\lib\models\duoRegistration.dart", "Dart", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 63
"d:\Flutter_projects\technozia\lib\models\events.dart", "Dart", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 16
"d:\Flutter_projects\technozia\lib\models\post.dart", "Dart", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 39
"d:\Flutter_projects\technozia\lib\models\team_member.dart", "Dart", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 47
"d:\Flutter_projects\technozia\lib\models\user.dart", "Dart", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 55
"d:\Flutter_projects\technozia\lib\providers\team_members_provider.dart", "Dart", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"d:\Flutter_projects\technozia\lib\providers\user_provider.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"d:\Flutter_projects\technozia\lib\routes.dart", "Dart", 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 170
"d:\Flutter_projects\technozia\lib\screens\admin-screens\achievements\add_achievements_screen.dart", "Dart", 0, 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 192
"d:\Flutter_projects\technozia\lib\screens\admin-screens\achievements\view_achievement.dart", "Dart", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 62
"d:\Flutter_projects\technozia\lib\screens\admin-screens\home_screen.dart", "Dart", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 98
"d:\Flutter_projects\technozia\lib\screens\admin-screens\posts\add_post_screen.dart", "Dart", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 91
"d:\Flutter_projects\technozia\lib\screens\admin-screens\posts\view_post_screen.dart", "Dart", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 61
"d:\Flutter_projects\technozia\lib\screens\admin-screens\registrations\view_registrations.dart", "Dart", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 121
"d:\Flutter_projects\technozia\lib\screens\admin-screens\users\view_users_screen.dart", "Dart", 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 193
"d:\Flutter_projects\technozia\lib\screens\coreteam-screens\home_screen.dart", "Dart", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"d:\Flutter_projects\technozia\lib\screens\member-screens\home_screen.dart", "Dart", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\coding_screen.dart", "Dart", 0, 0, 600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 606
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\fast_typing.dart", "Dart", 0, 0, 600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 606
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\gaming_screen.dart", "Dart", 0, 0, 640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 646
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\it_manager_screen.dart", "Dart", 0, 0, 620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 626
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\it_quiz_screen.dart", "Dart", 0, 0, 560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 566
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\treasurehunt_screen.dart", "Dart", 0, 0, 558, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 564
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\web_design_screen.dart", "Dart", 0, 0, 640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 646
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events_screen.dart", "Dart", 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 13, 163
"d:\Flutter_projects\technozia\lib\screens\participant-screens\home_screen.dart", "Dart", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 9, 133
"d:\Flutter_projects\technozia\lib\screens\participant-screens\items\team_member_item.dart", "Dart", 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 7, 301
"d:\Flutter_projects\technozia\lib\screens\participant-screens\original_home.dart", "Dart", 0, 0, 445, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 15, 474
"d:\Flutter_projects\technozia\lib\screens\participant-screens\profile\user_profile.dart", "Dart", 0, 0, 196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 207
"d:\Flutter_projects\technozia\lib\screens\participant-screens\registration\registration.dart", "Dart", 0, 0, 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 12, 213
"d:\Flutter_projects\technozia\lib\screens\participant-screens\registration\view_registration.dart", "Dart", 0, 0, 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 235
"d:\Flutter_projects\technozia\lib\screens\participant-screens\team-profile\team_profile_screen.dart", "Dart", 0, 0, 243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 10, 306
"d:\Flutter_projects\technozia\lib\services\auth_services.dart", "Dart", 0, 0, 321, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 25, 358
"d:\Flutter_projects\technozia\lib\services\participant_services.dart", "Dart", 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 154
"d:\Flutter_projects\technozia\lib\services\registration_services.dart", "Dart", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 121
"d:\Flutter_projects\technozia\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"d:\Flutter_projects\technozia\linux\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Flutter_projects\technozia\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"d:\Flutter_projects\technozia\linux\main.cc", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Flutter_projects\technozia\linux\my_application.cc", "C++", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"d:\Flutter_projects\technozia\linux\my_application.h", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"d:\Flutter_projects\technozia\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 4, 17
"d:\Flutter_projects\technozia\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"d:\Flutter_projects\technozia\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"d:\Flutter_projects\technozia\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"d:\Flutter_projects\technozia\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"d:\Flutter_projects\technozia\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 58, 13, 104
"d:\Flutter_projects\technozia\server\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 5, 34
"d:\Flutter_projects\technozia\server\middlewares\admin.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"d:\Flutter_projects\technozia\server\middlewares\auth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 5, 23
"d:\Flutter_projects\technozia\server\middlewares\core_team.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"d:\Flutter_projects\technozia\server\models\achievement.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 1, 4, 38
"d:\Flutter_projects\technozia\server\models\duo_registrations.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 3, 66
"d:\Flutter_projects\technozia\server\models\post.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 3, 26
"d:\Flutter_projects\technozia\server\models\team_members.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 3, 39
"d:\Flutter_projects\technozia\server\models\user.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 1, 3, 44
"d:\Flutter_projects\technozia\server\package-lock.json", "JSON", 2258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2259
"d:\Flutter_projects\technozia\server\package.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\Flutter_projects\technozia\server\routes\achievement.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 5, 36
"d:\Flutter_projects\technozia\server\routes\auth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 18, 92
"d:\Flutter_projects\technozia\server\routes\duo_registartion.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 7, 62
"d:\Flutter_projects\technozia\server\routes\post.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"d:\Flutter_projects\technozia\server\routes\team_member.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 11, 72
"d:\Flutter_projects\technozia\server\routes\user.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"d:\Flutter_projects\technozia\test\widget_test.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"d:\Flutter_projects\technozia\web\index.html", "HTML", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 16, 6, 60
"d:\Flutter_projects\technozia\web\manifest.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\Flutter_projects\technozia\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"d:\Flutter_projects\technozia\windows\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Flutter_projects\technozia\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"d:\Flutter_projects\technozia\windows\runner\flutter_window.cpp", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 67
"d:\Flutter_projects\technozia\windows\runner\flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\Flutter_projects\technozia\windows\runner\main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\Flutter_projects\technozia\windows\runner\resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\Flutter_projects\technozia\windows\runner\utils.cpp", "C++", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"d:\Flutter_projects\technozia\windows\runner\utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\Flutter_projects\technozia\windows\runner\win32_window.cpp", "C++", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"d:\Flutter_projects\technozia\windows\runner\win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 2527, 536, 8514, 38, 38, 36, 13, 559, 42, 466, 89, 8, 605, 684, 14155
